LECROYWP725Zi-A,67858,Waveform
Segments,1,SegmentSize,1002
Segment,TrigTime,TimeSinceSegment1
#1,01-Jan-2009 01:24:58,0                 
Time,Ampl
-6.63254e-009,0.00356501
-6.58254e-009,0.00287143
-6.53254e-009,-0.00330145
-6.48254e-009,-0.00683871
-6.43254e-009,-0.00711614
-6.38254e-009,-0.00454989
-6.33254e-009,-0.00392567
-6.28254e-009,0.00370372
-6.23254e-009,0.00897494
-6.18254e-009,0.00238592
-6.13254e-009,-0.002053
-6.08254e-009,-0.00607577
-6.03254e-009,-0.0111389
-5.98254e-009,-0.0128035
-5.93254e-009,-0.00822587
-5.88254e-009,-0.000804554
-5.83254e-009,-0.0067
-5.78254e-009,-0.024317
-5.73254e-009,-0.0340271
-5.68254e-009,-0.0283397
-5.63254e-009,-0.0127342
-5.58254e-009,-0.00434182
-5.53254e-009,-0.00822587
-5.48254e-009,-0.0166876
-5.43254e-009,-0.0171037
-5.38254e-009,-0.00697743
-5.33254e-009,0.00710227
-5.28254e-009,0.0068942
-5.23254e-009,0.000790683
-5.18254e-009,-0.0154391
-5.13254e-009,-0.0288946
-5.08254e-009,-0.025288
-5.03254e-009,-0.0153698
-4.98254e-009,-0.00448054
-4.93254e-009,0.00793457
-4.88254e-009,0.0201416
-4.83254e-009,0.0243724
-4.78254e-009,0.0157027
-4.73254e-009,0.0039118
-4.68254e-009,-0.00593706
-4.63254e-009,-0.0141213
-4.58254e-009,-0.0186296
-4.53254e-009,-0.0278542
-4.48254e-009,-0.0286172
-4.43254e-009,-0.0176586
-4.38254e-009,-0.00947432
-4.33254e-009,-0.00357888
-4.28254e-009,-0.00309337
-4.23254e-009,-0.00489668
-4.18254e-009,-0.0145375
-4.13254e-009,-0.0242476
-4.08254e-009,-0.0229992
-4.03254e-009,-0.0130809
-3.98254e-009,-0.0105841
-3.93254e-009,-0.0165489
-3.88254e-009,-0.0241089
-3.83254e-009,-0.01426
-3.78254e-009,-0.00593706
-3.73254e-009,-0.00829523
-3.68254e-009,-0.0139132
-3.63254e-009,-0.0182828
-3.58254e-009,-0.0202942
-3.53254e-009,-0.0115551
-3.48254e-009,-0.00482733
-3.43254e-009,-0.0104453
-3.38254e-009,-0.0232766
-3.33254e-009,-0.0222362
-3.28254e-009,-0.00385631
-3.23254e-009,0.00377308
-3.18254e-009,-0.00468861
-3.13254e-009,-0.0175892
-3.08254e-009,-0.0240395
-3.03254e-009,-0.0263283
-2.98254e-009,-0.0205716
-2.93254e-009,-0.0148149
-2.88254e-009,-0.0181441
-2.83254e-009,-0.0207797
-2.78254e-009,-0.0124567
-2.73254e-009,-0.0147455
-2.68254e-009,-0.0187683
-2.63254e-009,-0.00385631
-2.58254e-009,0.00238592
-2.53254e-009,-0.00905817
-2.48254e-009,-0.0214733
-2.43254e-009,-0.0233459
-2.38254e-009,-0.0191845
-2.33254e-009,-0.0187683
-2.28254e-009,-0.0214039
-2.23254e-009,-0.0239008
-2.18254e-009,-0.0330561
-2.13254e-009,-0.0327093
-2.08254e-009,-0.022583
-2.03254e-009,-0.0121793
-1.98254e-009,0.000998757
-1.93254e-009,0.00328758
-1.88254e-009,-0.002053
-1.83254e-009,0.00294078
-1.78254e-009,0.00710227
-1.73254e-009,-0.00357888
-1.68254e-009,-0.00683871
-1.63254e-009,-0.0105147
-1.58254e-009,-0.0207797
-1.53254e-009,-0.0200168
-1.48254e-009,-0.0143294
-1.43254e-009,-0.0067
-1.38254e-009,-0.00309337
-1.33254e-009,-0.013289
-1.28254e-009,-0.0207103
-1.23254e-009,-0.0168956
-1.18254e-009,-0.0225136
-1.13254e-009,-0.0287559
-1.08254e-009,-0.0202248
-1.03254e-009,-0.0125954
-9.8254e-010,-0.0162021
-9.3254e-010,-0.0239008
-8.8254e-010,-0.0250105
-8.3254e-010,-0.0204329
-7.8254e-010,-0.0245944
-7.3254e-010,-0.0270219
-6.8254e-010,-0.0317383
-6.3254e-010,-0.0309753
-5.8254e-010,-0.0137745
-5.3254e-010,0.00335693
-4.8254e-010,0.0178528
-4.3254e-010,0.0132751
-3.8254e-010,-0.00878074
-3.3254e-010,-0.0172424
-2.8254e-010,-0.0088501
-2.3254e-010,-0.00614513
-1.8254e-010,-0.00871138
-1.3254e-010,-0.00177557
-8.25395e-011,0.00418923
-3.25395e-011,-0.00330145
1.74605e-011,-0.0118325
6.74605e-011,-0.00517412
1.1746e-010,0.00162298
1.6746e-010,0.00238592
2.1746e-010,0.00488281
2.6746e-010,0.00814264
3.1746e-010,0.00349565
3.6746e-010,0.000721325
4.1746e-010,-0.00149814
4.6746e-010,-0.00753229
5.1746e-010,-0.0172424
5.6746e-010,-0.0238315
6.1746e-010,-0.0201555
6.6746e-010,-0.00815652
7.1746e-010,-0.00406439
7.6746e-010,-0.00607577
8.1746e-010,-0.019878
8.6746e-010,-0.0282704
9.1746e-010,-0.0248025
9.6746e-010,-0.0166182
1.01746e-009,-0.0126648
1.06746e-009,-0.013289
1.11746e-009,-0.00531283
1.16746e-009,0.00994596
1.21746e-009,0.0135526
1.26746e-009,0.00183105
1.31746e-009,-0.00600641
1.36746e-009,-0.00142878
1.41746e-009,0.015772
1.46746e-009,0.0229853
1.51746e-009,0.0224304
1.56746e-009,0.014801
1.61746e-009,0.00633933
1.66746e-009,-0.0028853
1.71746e-009,-0.00233043
1.76746e-009,0.00675548
1.81746e-009,0.00731035
1.86746e-009,-0.00454989
1.91746e-009,-0.0111389
1.96746e-009,-0.00919689
2.01746e-009,-0.00905817
2.06746e-009,-0.0109308
2.11746e-009,-0.0111389
2.16746e-009,-0.00538219
2.21746e-009,-0.00441118
2.26746e-009,-0.011347
2.31746e-009,-0.0137745
2.36746e-009,-0.0107228
2.41746e-009,-0.0175892
2.46746e-009,-0.0218894
2.51746e-009,-0.0176586
2.56746e-009,-0.0105147
2.61746e-009,-0.00413374
2.66746e-009,0.0039118
2.71746e-009,0.00384244
2.76746e-009,-0.00101263
2.81746e-009,-0.0166876
2.86746e-009,-0.0336803
2.91746e-009,-0.0397838
2.96746e-009,-0.0295188
3.01746e-009,-0.0177973
3.06746e-009,-0.0214039
3.11746e-009,-0.028201
3.16746e-009,-0.0229298
3.21746e-009,-0.0161327
3.26746e-009,-0.0101679
3.31746e-009,-0.00912753
3.36746e-009,-0.0125261
3.41746e-009,-0.025288
3.46746e-009,-0.0341658
3.51746e-009,-0.0298656
3.56746e-009,-0.0168263
3.61746e-009,-0.00794844
3.66746e-009,-0.0147455
3.71746e-009,-0.0242476
3.76746e-009,-0.0258428
3.81746e-009,-0.0188377
3.86746e-009,-0.0109308
3.91746e-009,-0.0139132
3.96746e-009,-0.0159246
4.01746e-009,-0.0159246
4.06746e-009,-0.0220281
4.11746e-009,-0.0230685
4.16746e-009,-0.0093356
4.21746e-009,0.00918302
4.26746e-009,0.0105702
4.31746e-009,-0.00614513
4.36746e-009,-0.0207797
